Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
HO;Abarelix;Abarelix;Plenaxis;ja;Endokrine Therapie;GnRH-Analogon;L02BX01
HO;Plenaxis;Abarelix;Plenaxis;ja;Endokrine Therapie;GnRH-Analogon;L02BX01
IM;Abatacept;Abatacept;Orencia;nein;Supportiv (GVHD);Antikörper (supportiv);L04AA24
IM;Orencia;Abatacept;Orencia;nein;Supportiv (GVHD);Antikörper (supportiv);L04AA24
ZS;Abemaciclib;Abemaciclib;Verzenios;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE50
ZS;Verzenios;Abemaciclib;Verzenios;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE50
IM;Abetimus;Abetimus;Riquent;ja;Immunmodulator;Interleukin-Antikörper;L04AA22
IM;Riquent;Abetimus;Riquent;ja;Immunmodulator;Interleukin-Antikörper;L04AA22
HO;Abirateron;Abirateron;Zytiga, Yonsa;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02BX03
HO;Yonsa;Abirateron;Zytiga, Yonsa;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02BX03
HO;Zytiga;Abirateron;Zytiga, Yonsa;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02BX03
ZS;Acalabrutinib;Acalabrutinib;Calquence;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE51 
ZS;Calquence;Acalabrutinib;Calquence;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE51 
SO;Acetylsalicylsäure;Acetylsalicylsäure;Alka-Seltzer, Aspirin, ASS, Godamed;nein;Supportiv;Analgetikum;
SO;Alka-Seltzer;Acetylsalicylsäure;Alka-Seltzer, Aspirin, ASS, Godamed;nein;Supportiv;Analgetikum;
SO;Aspirin;Acetylsalicylsäure;Alka-Seltzer, Aspirin, ASS, Godamed;nein;Supportiv;Analgetikum;
SO;ASS;Acetylsalicylsäure;Alka-Seltzer, Aspirin, ASS, Godamed;nein;Supportiv;Analgetikum;
SO;Godamed;Acetylsalicylsäure;Alka-Seltzer, Aspirin, ASS, Godamed;nein;Supportiv;Analgetikum;
CH;Aclarubicin;Aclarubicin;;ja;Zytostatikum;Anthrazyklin;L01DB04 
