"code","name"
"C00","Bösartige Neubildung der Lippe"
"C00.0","Bösartige Neubildung: Äußere Oberlippe"
"C00.1","Bösartige Neubildung: Äußere Unterlippe"
"C00.2","Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet"
"C00.3","Bösartige Neubildung: Oberlippe, Innenseite"
"C00.4","Bösartige Neubildung: Unterlippe, Innenseite"
"C00.5","Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite"
"C00.6","Bösartige Neubildung: Lippenkommissur"
"C00.8","Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend"
"C00.9","Bösartige Neubildung: Lippe, nicht näher bezeichnet"
"C01","Bösartige Neubildung des Zungengrundes"
"C02","Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge"
"C02.0","Bösartige Neubildung: Zungenrücken"
"C02.1","Bösartige Neubildung: Zungenrand"
"C02.2","Bösartige Neubildung: Zungenunterfläche"
"C02.3","Bösartige Neubildung: Vordere zwei Drittel der Zunge, Bereich nicht näher bezeichnet"
"C02.4","Bösartige Neubildung: Zungentonsille"
"C02.8","Bösartige Neubildung: Zunge, mehrere Teilbereiche überlappend"
"C02.9","Bösartige Neubildung: Zunge, nicht näher bezeichnet"
"C03","Bösartige Neubildung des Zahnfleisches"
"C03.0","Bösartige Neubildung: Oberkieferzahnfleisch"
"C03.1","Bösartige Neubildung: Unterkieferzahnfleisch"
"C03.9","Bösartige Neubildung: Zahnfleisch, nicht näher bezeichnet"
"C04","Bösartige Neubildung des Mundbodens"
"C04.0","Bösartige Neubildung: Vorderer Teil des Mundbodens"
"C04.1","Bösartige Neubildung: Seitlicher Teil des Mundbodens"
"C04.8","Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend"
"C04.9","Bösartige Neubildung: Mundboden, nicht näher bezeichnet"
"C05","Bösartige Neubildung des Gaumens"
"C05.0","Bösartige Neubildung: Harter Gaumen"
"C05.1","Bösartige Neubildung: Weicher Gaumen"
"C05.2","Bösartige Neubildung: Uvula"
"C05.8","Bösartige Neubildung: Gaumen, mehrere Teilbereiche überlappend"
"C05.9","Bösartige Neubildung: Gaumen, nicht näher bezeichnet"
"C06","Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes"
"C06.0","Bösartige Neubildung: Wangenschleimhaut"
"C06.1","Bösartige Neubildung: Vestibulum oris"
"C06.2","Bösartige Neubildung: Retromolarregion"
"C06.8","Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend"
"C06.9","Bösartige Neubildung: Mund, nicht näher bezeichnet"
"C07","Bösartige Neubildung der Parotis"
"C08","Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen"
"C08.0","Bösartige Neubildung: Glandula submandibularis"
"C08.1","Bösartige Neubildung: Glandula sublingualis"
"C08.8","Bösartige Neubildung: Große Speicheldrüsen, mehrere Teilbereiche überlappend"
"C08.9","Bösartige Neubildung: Große Speicheldrüse, nicht näher bezeichnet"
"C09","Bösartige Neubildung der Tonsille"
"C09.0","Bösartige Neubildung: Fossa tonsillaris"
"C09.1","Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer)"
"C09.8","Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend"
"C09.9","Bösartige Neubildung: Tonsille, nicht näher bezeichnet"
"C10","Bösartige Neubildung des Oropharynx"
"C10.0","Bösartige Neubildung: Vallecula epiglottica"
"C10.1","Bösartige Neubildung: Vorderfläche der Epiglottis"
"C10.2","Bösartige Neubildung: Seitenwand des Oropharynx"
"C10.3","Bösartige Neubildung: Hinterwand des Oropharynx"
"C10.4","Bösartige Neubildung: Kiemengang"
"C10.8","Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend"
"C10.9","Bösartige Neubildung: Oropharynx, nicht näher bezeichnet"
"C11","Bösartige Neubildung des Nasopharynx"
"C11.0","Bösartige Neubildung: Obere Wand des Nasopharynx"
"C11.1","Bösartige Neubildung: Hinterwand des Nasopharynx"
"C11.2","Bösartige Neubildung: Seitenwand des Nasopharynx"
"C11.3","Bösartige Neubildung: Vorderwand des Nasopharynx"
"C11.8","Bösartige Neubildung: Nasopharynx, mehrere Teilbereiche überlappend"
"C11.9","Bösartige Neubildung: Nasopharynx, nicht näher bezeichnet"
"C12","Bösartige Neubildung des Recessus piriformis"
"C13","Bösartige Neubildung des Hypopharynx"
"C13.0","Bösartige Neubildung: Regio postcricoidea"
"C13.1","Bösartige Neubildung: Aryepiglottische Falte, hypopharyngeale Seite"
"C13.2","Bösartige Neubildung: Hinterwand des Hypopharynx"
"C13.8","Bösartige Neubildung: Hypopharynx, mehrere Teilbereiche überlappend"
"C13.9","Bösartige Neubildung: Hypopharynx, nicht näher bezeichnet"
"C14","Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen der Lippe, der Mundhöhle und des Pharynx"
"C14.0","Bösartige Neubildung: Pharynx, nicht näher bezeichnet"
"C14.2","Bösartige Neubildung: Lymphatischer Rachenring [Waldeyer]"
"C14.8","Bösartige Neubildung: Lippe, Mundhöhle und Pharynx, mehrere Teilbereiche überlappend"
"C15","Bösartige Neubildung des Ösophagus"
"C15.0","Bösartige Neubildung: Zervikaler Ösophagus"
"C15.1","Bösartige Neubildung: Thorakaler Ösophagus"
"C15.2","Bösartige Neubildung: Abdominaler Ösophagus"
"C15.3","Bösartige Neubildung: Ösophagus, oberes Drittel"
"C15.4","Bösartige Neubildung: Ösophagus, mittleres Drittel"
"C15.5","Bösartige Neubildung: Ösophagus, unteres Drittel"
"C15.8","Bösartige Neubildung: Ösophagus, mehrere Teilbereiche überlappend"
"C15.9","Bösartige Neubildung: Ösophagus, nicht näher bezeichnet"
"C16","Bösartige Neubildung des Magens"
"C16.0","Bösartige Neubildung: Kardia"
"C16.1","Bösartige Neubildung: Fundus ventriculi"
"C16.2","Bösartige Neubildung: Corpus ventriculi"
"C16.3","Bösartige Neubildung: Antrum pyloricum"
"C16.4","Bösartige Neubildung: Pylorus"
"C16.5","Bösartige Neubildung: Kleine Kurvatur des Magens, nicht näher bezeichnet"
"C16.6","Bösartige Neubildung: Große Kurvatur des Magens, nicht näher bezeichnet"
"C16.8","Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend"
"C16.9","Bösartige Neubildung: Magen, nicht näher bezeichnet"
"C17","Bösartige Neubildung des Dünndarmes"
"C17.0","Bösartige Neubildung: Duodenum"
"C17.1","Bösartige Neubildung: Jejunum"
"C17.2","Bösartige Neubildung: Ileum"
"C17.3","Bösartige Neubildung: Meckel-Divertikel"
"C17.8","Bösartige Neubildung: Dünndarm, mehrere Teilbereiche überlappend"
"C17.9","Bösartige Neubildung: Dünndarm, nicht näher bezeichnet"
"C18","Bösartige Neubildung des Kolons"
"C18.0","Bösartige Neubildung: Zäkum"
"C18.1","Bösartige Neubildung: Appendix vermiformis"
"C18.2","Bösartige Neubildung: Colon ascendens"
"C18.3","Bösartige Neubildung: Flexura coli dextra [hepatica]"
"C18.4","Bösartige Neubildung: Colon transversum"
"C18.5","Bösartige Neubildung: Flexura coli sinistra [lienalis]"
"C18.6","Bösartige Neubildung: Colon descendens"
"C18.7","Bösartige Neubildung: Colon sigmoideum"
"C18.8","Bösartige Neubildung: Kolon, mehrere Teilbereiche überlappend"
"C18.9","Bösartige Neubildung: Kolon, nicht näher bezeichnet"
"C19","Bösartige Neubildung am Rektosigmoid, Übergang"
"C20","Bösartige Neubildung des Rektums"
"C21","Bösartige Neubildung des Anus und des Analkanals"
"C21.0","Bösartige Neubildung: Anus, nicht näher bezeichnet"
"C21.1","Bösartige Neubildung: Analkanal"
"C21.2","Bösartige Neubildung: Kloakenregion"
"C21.8","Bösartige Neubildung: Rektum, Anus und Analkanal, mehrere Teilbereiche überlappend"
"C22","Bösartige Neubildung der Leber und der intrahepatischen Gallengänge"
"C22.0","Bösartige Neubildung: Leberzellkarzinom"
"C22.1","Bösartige Neubildung: Intrahepatisches Gallengangskarzinom"
"C22.2","Bösartige Neubildung: Hepatoblastom"
"C22.3","Bösartige Neubildung: Angiosarkom der Leber"
"C22.4","Bösartige Neubildung: Sonstige Sarkome der Leber"
"C22.7","Bösartige Neubildung: Sonstige näher bezeichnete Karzinome der Leber"
"C22.9","Bösartige Neubildung: Leber, nicht näher bezeichnet"
"C23","Bösartige Neubildung der Gallenblase"
"C24","Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege"
"C24.0","Bösartige Neubildung: Extrahepatischer Gallengang"
"C24.1","Bösartige Neubildung: Ampulla hepatopancreatica [Ampulla Vateri]"
"C24.8","Bösartige Neubildung: Gallenwege, mehrere Teilbereiche überlappend"
"C24.9","Bösartige Neubildung: Gallenwege, nicht näher bezeichnet"
"C25","Bösartige Neubildung des Pankreas"
"C25.0","Bösartige Neubildung: Pankreaskopf"
"C25.1","Bösartige Neubildung: Pankreaskörper"
"C25.2","Bösartige Neubildung: Pankreasschwanz"
"C25.3","Bösartige Neubildung: Ductus pancreaticus"
"C25.4","Bösartige Neubildung: Endokriner Drüsenanteil des Pankreas"
"C25.7","Bösartige Neubildung: Sonstige Teile des Pankreas"
"C25.8","Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend"
"C25.9","Bösartige Neubildung: Pankreas, nicht näher bezeichnet"
"C26","Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane"
"C26.0","Bösartige Neubildung: Intestinaltrakt, Teil nicht näher bezeichnet"
"C26.1","Bösartige Neubildung: Milz"
"C26.8","Bösartige Neubildung: Verdauungssystem, mehrere Teilbereiche überlappend"
"C26.9","Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Verdauungssystems"
"C30","Bösartige Neubildung der Nasenhöhle und des Mittelohres"
"C30.0","Bösartige Neubildung: Nasenhöhle"
"C30.1","Bösartige Neubildung: Mittelohr"
