"code","name"
0,"Unbekannter Landkreis"
1001,"Flensburg"
1002,"Kiel"
1003,"Lübeck"
1004,"Neumünster"
1051,"Dithmarschen"
1053,"Herzogtum Lauenburg"
1054,"Nordfriesland"
1055,"Ostholstein"
1056,"Pinneberg"
1057,"Plön"
1058,"Rendsburg-Eckernförde"
1059,"Schleswig-Flensburg"
1060,"Segeberg"
1061,"Steinburg"
1062,"Stormarn"
1099,"Schleswig-Holstein unbekannter Landkreis"
2000,"Hamburg"
2099,"Hamburg unbekannter Landkreis"
3099,"Niedersachsen unbekannter Landkreis"
3101,"Braunschweig"
3102,"Salzgitter"
3103,"Wolfsburg"
3151,"Gifhorn"
3152,"Göttingen"
3153,"Goslar"
3154,"Helmstedt"
3155,"Northeim"
3156,"Osterode am Harz"
3157,"Peine"
3158,"Wolfenbüttel"
3159,"Göttingen"
3241,"Region Hannover"
3251,"Diepholz"
3252,"Hameln-Pyrmont"
3254,"Hildesheim"
3255,"Holzminden"
3256,"Nienburg (Weser)"
3257,"Schaumburg"
3351,"Celle"
3352,"Cuxhaven"
3353,"Harburg"
3354,"Lüchow-Dannenberg"
3355,"Lüneburg"
3356,"Osterholz"
3357,"Rotenburg (Wümme)"
3358,"Soltau-Fallingbostel"
3359,"Stade"
3360,"Uelzen"
3361,"Verden"
3401,"Delmenhorst"
3402,"Emden"
3403,"Oldenburg (Oldenburg)"
3404,"Osnabrück"
3405,"Wilhelmshaven"
3451,"Ammerland"
3452,"Aurich"
3453,"Cloppenburg"
3454,"Emsland"
3455,"Friesland"
3456,"Grafschaft Bentheim"
3457,"Leer"
3458,"Oldenburg"
3459,"Osnabrück"
3460,"Vechta"
3461,"Wesermarsch"
3462,"Wittmund"
4011,"Bremen"
4012,"Bremerhaven"
4099,"Bremen unbekannter Landkreis"
5099,"Nordrhein-Westfalen unbekannter Landkreis"
5111,"Düsseldorf"
5112,"Duisburg"
5113,"Essen"
5114,"Krefeld"
5116,"Mönchengladbach"
5117,"Mülheim an der Ruhr"
5119,"Oberhausen"
5120,"Remscheid"
5122,"Solingen"
5124,"Wuppertal"
5154,"Kleve"
5158,"Mettmann"
5162,"Rhein-Kreis Neuss"
5166,"Viersen"
5170,"Wesel"
5199,"Düsseldorf unbekannter Landkreis"
5314,"Bonn"
5315,"Köln"
5316,"Leverkusen"
5334,"Aachen"
5358,"Düren"
5362,"Rhein-Erft-Kreis"
5366,"Euskirchen"
5370,"Heinsberg"
5374,"Oberbergischer Kreis"
5378,"Rheinisch-Bergischer Kreis"
5382,"Rhein-Sieg-Kreis"
5399,"Köln unbekannter Landkreis"
5512,"Bottrop"
5513,"Gelsenkirchen"
5515,"Münster"
5554,"Borken"
5558,"Coesfeld"
5562,"Recklinghausen"
5566,"Steinfurt"
5570,"Warendorf"
5599,"Münster unbekannter Landkreis"
5711,"Bielefeld"
5754,"Gütersloh"
5758,"Herford"
5762,"Höxter"
5766,"Lippe"
5770,"Minden-Lübbecke"
5774,"Paderborn"
5799,"Detmold unbekannter Landkreis"
5911,"Bochum"
5913,"Dortmund"
5914,"Hagen"
5915,"Hamm"
5916,"Herne"
5954,"Ennepe-Ruhr-Kreis"
5958,"Hochsauerlandkreis"
5962,"Märkischer Kreis"
5966,"Olpe"
5970,"Siegen-Wittgenstein"
5974,"Soest"
5978,"Unna"
5999,"Arnsberg unbekannter Landkreis"
6099,"Hessen unbekannter Landkreis"
6411,"Darmstadt"
6412,"Frankfurt am Main"
6413,"Offenbach am Main"
6414,"Wiesbaden"
6431,"Bergstraße"
6432,"Darmstadt-Dieburg"
6433,"Groß-Gerau"
6434,"Hochtaunuskreis"
6435,"Main-Kinzig-Kreis"
6436,"Main-Taunus-Kreis"
6437,"Odenwaldkreis"
6438,"Offenbach"
6439,"Rheingau-Taunus-Kreis"
6440,"Wetteraukreis"
6499,"Darmstadt unbekannter Landkreis"
6531,"Gießen"
6532,"Lahn-Dill-Kreis"
6533,"Limburg-Weilburg"
6534,"Marburg-Biedenkopf"
6535,"Vogelsbergkreis"
6599,"Gießen unbekannter Landkreis"
6611,"Kassel"
6631,"Fulda"
6632,"Hersfeld-Rotenburg"
6633,"Kassel"
6634,"Schwalm-Eder-Kreis"
6635,"Waldeck-Frankenberg"
6636,"Werra-Meißner-Kreis"
6699,"Kassel unbekannter Landkreis"
7099,"Rheinland-Pfalz unbekannter Landkreis"
7111,"Koblenz"
7131,"Ahrweiler"
7132,"Altenkirchen (Westerwald)"
7133,"Bad Kreuznach"
7134,"Birkenfeld"
7135,"Cochem-Zell"
7137,"Mayen-Koblenz"
7138,"Neuwied"
7140,"Rhein-Hunsrück-Kreis"
7141,"Rhein-Lahn-Kreis"
7143,"Westerwaldkreis"
7211,"Trier"
7231,"Bernkastel-Wittlich"
7232,"Eifelkreis-Bitburg-Prüm"
7233,"Vulkaneifel"
7235,"Trier-Saarburg"
7311,"Frankenthal (Pfalz)"
7312,"Kaiserslautern"
7313,"Landau in der Pfalz"
7314,"Ludwigshafen am Rhein"
7315,"Mainz"
7316,"Neustadt an der Weinstraße"
7317,"Pirmasens"
7318,"Speyer"
7319,"Worms"
7320,"Zweibrücken"
7331,"Alzey-Worms"
7332,"Bad Dürkheim"
7333,"Donnersbergkreis"
7334,"Germersheim"
7335,"Kaiserslautern"
7336,"Kusel"
7337,"Südliche Weinstraße"
7338,"Rhein-Pfalz-Kreis"
7339,"Mainz-Bingen"
7340,"Südwestpfalz"
8099,"Baden-Württemberg unbekannter Landkreis"
8111,"Stuttgart"
8115,"Böblingen"
8116,"Esslingen"
8117,"Göppingen"
8118,"Ludwigsburg"
8119,"Rems-Murr-Kreis"
8121,"Heilbronn"
8125,"Heilbronn"
8126,"Hohenlohekreis"
8127,"Schwäbisch Hall"
8128,"Main-Tauber-Kreis"
8135,"Heidenheim"
8136,"Ostalbkreis"
8199,"Stuttgart unbekannter Landkreis"
8211,"Baden-Baden"
8212,"Karlsruhe"
8215,"Karlsruhe"
8216,"Rastatt"
8221,"Heidelberg"
8222,"Mannheim"
8225,"Neckar-Odenwald-Kreis"
8226,"Rhein-Neckar-Kreis"
8231,"Pforzheim"
8235,"Calw"
8236,"Enzkreis"
8237,"Freudenstadt"
8299,"Karlsruhe unbekannter Landkreis"
8311,"Freiburg im Breisgau"
8315,"Breisgau-Hochschwarzwald"
8316,"Emmendingen"
8317,"Ortenaukreis"
8325,"Rottweil"
8326,"Schwarzwald-Baar-Kreis"
8327,"Tuttlingen"
8335,"Konstanz"
8336,"Lörrach"
8337,"Waldshut"
8399,"Freiburg unbekannter Landkreis"
8415,"Reutlingen"
8416,"Tübingen"
8417,"Zollernalbkreis"
8421,"Ulm"
8425,"Alb-Donau-Kreis"
8426,"Biberach"
8435,"Bodenseekreis"
8436,"Ravensburg"
8437,"Sigmaringen"
8499,"Tübingen unbekannter Landkreis"
9099,"Bayern unbekannter Landkreis"
9161,"Ingolstadt"
9162,"München"
9163,"Rosenheim"
9171,"Altötting"
9172,"Berchtesgadener Land"
9173,"Bad Tölz-Wolfratshausen"
9174,"Dachau"
9175,"Ebersberg"
9176,"Eichstätt"
9177,"Erding"
9178,"Freising"
9179,"Fürstenfeldbruck"
9180,"Garmisch-Partenkirchen"
9181,"Landsberg am Lech"
9182,"Miesbach"
9183,"Mühldorf a. Inn"
9184,"München"
9185,"Neuburg-Schrobenhausen"
9186,"Pfaffenhofen a.d. Ilm"
9187,"Rosenheim"
9188,"Starnberg"
9189,"Traunstein"
9190,"Weilheim-Schongau"
9199,"Oberbayern unbekannter Landkreis"
9261,"Landshut"
9262,"Passau"
9263,"Straubing"
9271,"Deggendorf"
9272,"Freyung-Grafenau"
9273,"Kelheim"
9274,"Landshut"
9275,"Passau"
9276,"Regen"
9277,"Rottal-Inn"
9278,"Straubing-Bogen"
9279,"Dingolfing-Landau"
9299,"Niederbayern unbekannter Landkreis"
9361,"Amberg"
9362,"Regensburg"
9363,"Weiden i.d. OPf."
9371,"Amberg-Sulzbach"
9372,"Cham"
9373,"Neumarkt i.d. OPf."
9374,"Neustadt a.d. Waldnaab"
9375,"Regensburg"
9376,"Schwandorf"
9377,"Tirschenreuth"
9399,"Oberpfalz unbekannter Landkreis"
9461,"Bamberg"
9462,"Bayreuth"
9463,"Coburg"
9464,"Hof"
9471,"Bamberg"
9472,"Bayreuth"
9473,"Coburg"
9474,"Forchheim"
9475,"Hof"
9476,"Kronach"
9477,"Kulmbach"
9478,"Lichtenfels"
9479,"Wunsiedel i. Fichtelgebirge"
9499,"Oberfranken unbekannter Landkeis"
9561,"Ansbach"
9562,"Erlangen"
9563,"Fürth"
9564,"Nürnberg"
9565,"Schwabach"
9571,"Ansbach"
9572,"Erlangen-Höchstadt"
9573,"Fürth"
9574,"Nürnberger Land"
9575,"Neustadt a.d. Aisch-Bad Windsheim"
9576,"Roth"
9577,"Weißenburg-Gunzenhausen"
9599,"Mittelfranken unbekannter Landkreis"
9661,"Aschaffenburg"
9662,"Schweinfurt"
9663,"Würzburg"
9671,"Aschaffenburg"
9672,"Bad Kissingen"
9673,"Rhön-Grabfeld"
9674,"Haßberge"
9675,"Kitzingen"
9676,"Miltenberg"
9677,"Main-Spessart"
9678,"Schweinfurt"
9679,"Würzburg"
9699,"Unterfranken unbekannter Landkreis"
9761,"Augsburg"
9762,"Kaufbeuren"
9763,"Kempten (Allgäu)"
9764,"Memmingen"
9771,"Aichach-Friedberg"
9772,"Augsburg"
9773,"Dillingen a.d. Donau"
9774,"Günzburg"
9775,"Neu-Ulm"
9776,"Lindau (Bodensee)"
9777,"Ostallgäu"
9778,"Unterallgäu"
9779,"Donau-Ries"
9780,"Oberallgäu"
9799,"Schwaben unbekannter Landkreis"
10041,"Stadtverband Saarbrücken"
10042,"Merzig-Wadern"
10043,"Neunkirchen"
10044,"Saarlouis"
10045,"Saarpfalz-Kreis"
10046,"St. Wendel"
10099,"Saarland unbekannter Landkreis"
11000,"Berlin"
11001,"Berlin-West (historisch)"
11002,"Berlin-Ost (historisch)"
11099,"Berlin unbekannter Landkreis"
12051,"Brandenburg an der Havel"
12052,"Cottbus"
12053,"Frankfurt (Oder)"
12054,"Potsdam"
12060,"Barnim"
12061,"Dahme-Spreewald"
12062,"Elbe-Elster"
12063,"Havelland"
12064,"Märkisch-Oderland"
12065,"Oberhavel"
12066,"Oberspreewald-Lausitz"
12067,"Oder-Spree"
12068,"Ostprignitz-Ruppin"
12069,"Potsdam-Mittelmark"
12070,"Prignitz"
12071,"Spree-Neiße"
12072,"Teltow-Fläming"
12073,"Uckermark"
12099,"Brandenburg unbekannter Landkreis"
13001,"Greifswald"
13002,"Neubrandenburg"
13003,"Rostock"
13004,"Schwerin"
13005,"Stralsund"
13006,"Wismar"
13051,"Bad Doberan"
13052,"Demmin"
13053,"Güstrow"
13054,"Ludwigslust"
13055,"Mecklenburg-Strelitz"
13056,"Müritz"
13057,"Nordvorpommern"
13058,"Nordwestmecklenburg"
13059,"Ostvorpommern"
13060,"Parchim"
13061,"Rügen"
13062,"Uecker-Randow"
13071,"Mecklenburgische Seenplatte"
13072,"Rostock"
13073,"Vorpommern-Rügen"
13074,"Nordwestmecklenburg"
13075,"Vorpommern-Greifswald"
13076,"Ludwigslust-Parchim"
13099,"Mecklenburg-Vorpommern unbekannter Landkreis"
14099,"Sachsen unbekannter Landkreis"
14511,"Chemnitz"
14521,"Erzgebirgskreis"
14522,"Mittelsachsen"
14523,"Vogtlandkreis"
14524,"Zwickau"
14599,"Chemnitz unbekannter Landkreis"
14612,"Dresden"
14625,"Bautzen"
14626,"Görlitz"
14627,"Meißen"
14628,"Sächsische Schweiz-Osterzgebirge"
14699,"Dresden unbekannter Landkreis"
14713,"Leipzig"
14729,"Leipzig"
14730,"Nordsachsen"
14799,"Leipzig unbekannter Landkreis"
15001,"Dessau-Roßlau"
15002,"Halle (Saale)"
15003,"Magdeburg"
15081,"Altmarkkreis Salzwedel"
15082,"Anhalt-Bitterfeld"
15083,"Börde"
15084,"Burgenlandkreis"
15085,"Harz"
15086,"Jerichower Land"
15087,"Mansfeld-Südharz"
15088,"Saalekreis"
15089,"Salzlandkreis"
15090,"Stendal"
15091,"Wittenberg"
15099,"Sachsen-Anhalt unbekannter Landkreis"
16051,"Erfurt"
16052,"Gera"
16053,"Jena"
16054,"Suhl"
16055,"Weimar"
16056,"Eisenach"
16061,"Eichsfeld"
16062,"Nordhausen"
16063,"Wartburgkreis"
16064,"Unstrut-Hainich-Kreis"
16065,"Kyffhäuserkreis"
16066,"Schmalkalden-Meiningen"
16067,"Gotha"
16068,"Sömmerda"
16069,"Hildburghausen"
16070,"Ilm-Kreis"
16071,"Weimarer Land"
16072,"Sonneberg"
16073,"Saalfeld-Rudolstadt"
16074,"Saale-Holzland-Kreis"
16075,"Saale-Orla-Kreis"
16076,"Greiz"
16077,"Altenburger Land"
16099,"Thüringen unbekannter Landkreis"
